scope,model_alias,canonical_model,variant,generations,calls,valid_count,valid_rate,valid_low,valid_high,omission_count,omission_rate,omission_low,omission_high,misplacement_count,misplacement_rate,misplacement_low,misplacement_high,confusion_count,confusion_rate,confusion_low,confusion_high,missing,duplicate,wrong_tool,schema_invalid,omitted_expected_fields
combined,all,all,compound,20,160,160,1,0.9766,1,0,0,0,0.0234,0,0,0,0.0234,0,0,0,0.0234,0,0,0,0,0
combined,all,all,bare,20,160,160,1,0.9766,1,0,0,0,0.0234,0,0,0,0.0234,0,0,0,0.0234,0,0,0,0,0
combined,all,all,nested,20,160,152,0.95,0.9044,0.9744,8,0.05,0.0256,0.0956,0,0,0,0.0234,8,0.05,0.0256,0.0956,8,0,0,0,33
model,haiku,claude-haiku-4-5,compound,10,80,80,1,0.9542,1,0,0,0,0.0458,0,0,0,0.0458,0,0,0,0.0458,0,0,0,0,0
model,haiku,claude-haiku-4-5,bare,10,80,80,1,0.9542,1,0,0,0,0.0458,0,0,0,0.0458,0,0,0,0.0458,0,0,0,0,0
model,haiku,claude-haiku-4-5,nested,10,80,80,1,0.9542,1,0,0,0,0.0458,0,0,0,0.0458,0,0,0,0.0458,0,0,0,0,0
model,sonnet,claude-sonnet-5,compound,10,80,80,1,0.9542,1,0,0,0,0.0458,0,0,0,0.0458,0,0,0,0.0458,0,0,0,0,0
model,sonnet,claude-sonnet-5,bare,10,80,80,1,0.9542,1,0,0,0,0.0458,0,0,0,0.0458,0,0,0,0.0458,0,0,0,0,0
model,sonnet,claude-sonnet-5,nested,10,80,72,0.9,0.8149,0.9485,8,0.1,0.0515,0.1851,0,0,0,0.0458,8,0.1,0.0515,0.1851,8,0,0,0,33
